作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
小蕃茄(聖女)(元/公斤),2016,73.45,39.50,54.22,71.67,64.33,58.33,45.67,73.33,65,79,157.06,104.78,
甜椒(青椒)(元/公斤),2016,24.83,43.46,42.89,37.96,22.33,35.93,34.78,20.50,33.88,79.90,95.18,43.38,
西瓜(大粒)(元/公斤),2016,-,-,-,24.34,21.68,12.59,20.78,17.25,-,-,-,-,
西瓜(小粒)(元/公斤),2016,-,-,25,20.47,21.50,11.57,18.17,21.83,7.81,25,-,-,
西瓜(無子)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(元/ 公斤),2016,37.42,37,52.36,53.31,38.83,27.08,32.20,29.43,25.25,39.72,54.33,35,
洋香瓜(網狀紅肉)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(網狀青肉)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(光面青肉)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
香瓜(美濃瓜)(元/公斤),2016,-,-,69.67,46.33,39.53,38.87,42.23,44.60,33.80,25.56,52.50,-,
敏豆(四季豆)(元/公斤),2016,53.07,95.42,74,59.50,52.42,55.23,74.93,86.86,106.59,140.20,96.83,49.29,
豇豆(元/公斤),2016,35.67,53.50,51.22,52.33,28,19.71,30.42,40.40,43.67,81.13,70.67,33.33,
豌豆(元/公斤),2016,62.55,118.54,70,98.33,-,-,-,-,-,-,121.58,82.63,
甜豌豆(元/公斤),2016,59,103.25,67.33,74,-,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2016,22.84,19.20,19.20,19.20,17.92,-,-,-,-,-,-,-,
菜豆(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
辣椒(元/公斤),2016,42.50,48.75,87.09,92.91,75.64,53.50,81.20,87.67,95.67,111.37,151.34,103.68,
玉米筍(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
甜玉米(鮮食)(元/公斤),2016,19.37,26.24,26.97,24.34,18.61,14.34,15.97,20.63,14.88,27.19,55.27,23.53,
蓮藕(元/公斤),2016,81.50,-,-,-,-,-,-,45.67,38.33,41.33,41.33,40.67,
草莓(元/公斤),2016,235.56,266.67,185.56,95,-,-,-,-,-,-,-,115.67,
洋菇(元/公斤),2016,65.22,77.50,66.33,109.67,112.33,105.33,97.67,92.67,85,99.17,113,111.67,
香菇(太空包)乾(元/公斤),2016,1368.61,1438.75,1420,1453.33,1475.83,1454.17,1455,1450.83,1467.50,1436.67,1435.83,1448.33,
香菇(太空包)鮮(元/公斤),2016,92.11,93.17,92.33,94.89,96.67,95.67,97.34,97.34,98.11,97.33,96.78,96.56,
木耳(黑色溼)(元/公斤),2016,64.50,76.25,76.33,67.67,50.33,49.33,46,58,55,54.67,62.50,63.33,
鮑魚菇(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
杏鮑菇(元/公斤),2016,-,-,-,-,-,66.45,62.78,67.89,78.56,72.67,77.22,73.89,
菱角(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
葡萄柚(元/公斤),2016,19.33,24.50,29,23.67,-,-,-,-,17,20.11,20.51,19.58,
芒果(在來)(元/公斤),2016,-,-,61.66,69.69,82.04,60.46,-,-,-,-,-,-,
芒果(愛文)(元/公斤),2016,-,-,-,96.67,107.50,105.68,95.90,95.11,-,-,-,-,
芒果(金煌)(元/公斤),2016,-,-,-,-,61.90,55.96,51.51,69.42,-,-,-,-,
番石榴(泰國)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(珍珠)(元/公斤),2016,38.80,24.52,38.43,18.65,26.28,33.32,20.47,18.13,44.82,47.27,47.33,60.23,
番石榴(加工用)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
蓮霧(元/公斤),2016,56.75,58.31,62.75,54.18,50.66,55.50,-,-,-,-,82.94,64.46,
枇杷(元/公斤),2016,-,85,139.25,124.44,-,-,-,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2016,-,-,-,-,-,53.80,80,-,-,-,-,-,
荔枝(桂味)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2016,-,-,-,-,173.78,125.79,-,-,-,-,-,-,
龍眼(大粒)(元/公斤),2016,-,-,-,-,-,-,93,65.41,43.75,-,-,-,
棗子(元/公斤),2016,51.01,46.02,56.14,-,-,-,-,-,-,-,-,59.75,
番荔枝(大目)(元/公斤),2016,58.76,65.09,74.75,-,-,-,130,90,60,93,84.36,82.47,
鳳梨釋迦(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
楊桃(馬來種)(元/公斤),2016,33.67,31.25,27,37.50,-,-,-,27,28.33,27.17,41.67,40,
楊桃(紅龍)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
酪梨(元/公斤),2016,-,-,-,-,-,87.33,71.44,71.44,67.67,69.67,85,93.67,
椰子(元/公斤),2016,5.67,5.46,5.59,5.96,6.89,7.50,7.94,8.06,7,6.92,6.50,6.25,
檳榔(元/ 粒),2016,0.96,1.57,1.78,2.25,3.87,4.31,2.47,1.09,1.30,1.07,0.96,0.98,
彌猴桃(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
木瓜(元/公斤),2016,26.47,23.60,26.65,37.77,38.51,28.23,31.42,33.89,33.91,43.66,49.70,55.40,
百香果(元/公斤),2016,-,-,-,-,-,73,76.17,79.83,55,63.50,66.67,-,
香蕉(內銷)(元/公斤),2016,39.17,48.20,57.33,37.79,25.58,18.12,19.12,37.46,35.17,33.66,40.25,63.19,
香蕉(外銷)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
鳳梨(開英)(元/公斤),2016,-,-,-,-,-,23.37,20.25,20.17,20,16.77,16.87,-,
鳳梨(17號)(元/公斤),2016,25.25,14.75,15.89,17.30,27.17,33.21,23.39,29.94,27.95,19.75,28.50,24.08,
?梨(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
鳳梨(牛奶)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
紅龍果(元/公斤),2016,-,-,-,-,96.67,65.58,39.60,55.45,39.61,51.48,73.15,-,
椪柑(元/公斤),2016,39.48,27.50,-,-,-,-,-,-,-,44.34,35.69,31.49,
桶柑(元/公斤),2016,30.90,26.82,21.75,-,-,-,-,-,-,-,-,-,
文旦(元/公斤),2016,-,-,-,-,-,-,-,43.59,42.14,-,-,-,
柳橙(元/公斤),2016,19.88,19.07,21.95,-,-,-,-,-,-,22.82,22.13,23.61,
檸檬(元/公斤),2016,16.78,13.30,22.67,23.96,29.82,31.83,20.83,11.74,12.25,26.40,55.76,62.98,
檸檬(無籽)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
海梨柑(元/公斤),2016,24.38,23.75,-,-,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2016,50.57,43.08,48.83,35,-,-,-,-,-,-,-,-,
白柚(元/公斤),2016,-,-,-,-,-,-,-,-,28.33,28.42,29.44,36.67,
金柑(元/公斤),2016,43.28,68.50,75.67,-,-,-,-,-,-,-,44.75,40.33,
李(玉李)(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
李(紅肉)(元/公斤),2016,-,-,-,-,-,47.67,-,-,-,-,-,-,
鶯歌桃(元/公斤),2016,-,-,-,-,-,39.70,-,-,-,-,-,-,
甜桃(元/公斤),2016,-,-,-,65,88,-,-,-,-,-,-,-,
水蜜桃(元/公斤),2016,-,-,-,-,-,-,89.57,92.17,-,-,-,-,
牛心柿(元/公斤),2016,-,-,-,-,-,-,-,-,28,26.67,25.25,-,
甜柿(元/公斤),2016,-,-,-,-,-,-,-,-,-,88.76,72.56,63.64,
紅柿(軟柿)(元/公斤),2016,-,-,-,-,-,-,-,27.15,24.45,22.82,-,-,
青梅(手採)(元/公斤),2016,-,-,-,58.84,54.10,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2016,-,-,-,20.42,20.50,-,-,-,-,-,-,-,
橫山梨(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
新世紀梨(元/公斤),2016,-,-,-,-,-,-,-,70,67.67,65,-,-,
豐水梨(元/公斤),2016,-,-,-,-,-,72.83,83.42,-,-,-,-,-,
幸水梨(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
新興梨(元/公斤),2016,-,-,-,-,-,-,66.48,70.49,70.36,-,-,-,
五爪蘋果(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
金冠蘋果(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
富士蘋果(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
巨峰葡萄(元/公斤),2016,70.75,-,92.67,90,96.67,81.89,70.92,78.75,87.33,69.50,65.02,67.33,
落花生(帶殼)(元/公斤),2016,71.25,67.83,67.50,69.84,69.47,61.81,63.61,66.88,61.15,63.88,75.37,72.67,
花生仁(總仁)(元/公斤),2016,119.26,-,-,-,-,-,-,-,-,-,118.33,114.62,
紅豆(中等)(元/公斤),2016,76.34,78.30,-,-,-,-,-,-,-,-,-,96.66,
綠豆(省產)(元/公斤),2016,80.17,80.50,80.17,80.67,91.75,95.08,80.17,80.33,80.17,80.17,80.33,-,
花豆(元/公斤),2016,-,-,-,-,-,-,-,-,-,-,-,-,
甘藷(元/公斤),2016,27.08,22.65,20.93,17.45,16.95,14.76,15.19,19.25,15.54,15.90,16.85,14.43,
