作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
蓮藕(元/公斤),2015,237.78,253.34,146.89,114,-,-,-,-,-,-,-,155,
草莓(元/公斤),2015,86.22,77.50,82.45,128.33,102.50,120,93.33,100,113.33,140,111.89,96.11,
洋菇(元/公斤),2015,1495.83,1555,1420.83,1367.50,1390,1379.17,1340.83,1272.50,1258.33,1236.67,1210.83,1202.50,
香菇(太空包)乾(元/公斤),2015,104.55,106.84,99.56,94.33,94.11,95.33,93.78,90.67,91,90.89,89.22,86.89,
香菇(太空包)鮮(元/公斤),2015,65.17,61,55.83,50.67,47.33,40,39.67,58,67.33,56,56,53.52,
木耳(黑色溼)(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2015,-,-,-,-,-,80,83.33,86.33,90,91.67,92.22,86.45,
杏鮑菇(元/公斤),2015,15.33,24,25.33,19.50,-,-,-,-,20,21.56,22.28,21.55,
葡萄柚(元/公斤),2015,-,-,77.50,57.54,58.50,36.96,-,-,-,-,-,-,
芒果(在來)(元/公斤),2015,-,-,-,86.83,79.72,45.67,29.64,46.11,-,-,-,-,
芒果(愛文)(元/公斤),2015,-,-,-,-,50,28.90,17.87,29.36,-,-,-,-,
芒果(金煌)(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2015,26.13,25.54,12.09,11.91,17.52,28.18,18.31,37.32,43.28,44.37,40.52,48.34,
番石榴(珍珠)(元/公斤),2015,56.13,52.83,50.30,42.99,45.33,35,-,-,-,-,63.14,67.50,
蓮霧(元/公斤),2015,-,-,170,142.64,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2015,-,-,-,-,-,25.79,19.80,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2015,-,-,-,-,77.69,55.21,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2015,-,-,-,-,-,-,41.08,41.52,59.59,-,-,-,
龍眼(大粒)(元/公斤),2015,57.07,44.52,38.80,-,-,-,-,-,-,-,-,62.98,
棗子(元/公斤),2015,59.56,65.67,64.72,-,-,-,61,55.33,58.54,64.83,62.76,62.37,
番荔枝(元/公斤),2015,26,17,18.72,17.83,-,-,-,35,37.50,41.17,38.33,31.67,
楊桃(馬來種)(元/公斤),2015,-,-,-,-,-,69,48.11,50.33,73.81,82.33,97,93,
酪梨(元/公斤),2015,5.99,5.54,5.89,5.34,6.23,6.25,6.58,7.06,6.58,6.50,6.38,5.75,
椰子(元/公斤),2015,1.08,1.92,2.33,2.60,3.96,3.75,0.93,1.35,1.16,0.75,0.60,0.63,
檳榔(元/ 粒),2015,28.11,19.03,19.51,24.37,18.34,15.69,17.18,32.35,42.24,50.74,63.99,47.60,
木瓜(元/公斤),2015,-,-,-,-,-,66.33,55.83,49.17,53.83,48.60,48,45.33,
百香果(元/公斤),2015,29.44,30.09,25.44,15.32,16.06,15.59,17.81,29.53,44.68,49.33,48.43,45.89,
香蕉(內銷)(元/公斤),2015,-,-,-,-,-,15.54,15.21,18.42,18.87,17.77,16.73,-,
鳳梨(開英)(元/公斤),2015,20.75,26.42,22.02,23.24,24.86,17.21,17.37,21.65,25.89,27.33,25,27.17,
鳳梨(17號)(元/公斤),2015,-,-,-,-,91.67,62.92,28.92,47.92,54.16,61.42,70.04,-,
紅龍果(元/公斤),2015,36.56,40.50,-,-,-,-,-,-,-,35.85,32.33,32.40,
椪柑(元/公斤),2015,43.61,45.56,38.94,-,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2015,-,-,-,-,-,-,-,24.75,48.21,-,-,-,
文旦(元/公斤),2015,18.48,20.34,20.60,-,-,-,-,-,-,20.13,18.78,19.34,
柳橙(元/公斤),2015,43.47,47.59,41.38,40.31,35.95,40.24,24.87,12.73,15.17,28,47.35,35.17,
檸檬(元/公斤),2015,30.58,30.20,-,-,-,-,-,-,-,-,-,-,
海梨柑(元/公斤),2015,48.61,59.66,57,62.17,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2015,40.33,41,42.67,-,-,-,-,-,-,-,-,39.85,
金柑(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2015,-,-,-,-,50,47.50,-,-,-,-,-,-,
李(紅肉)(元/公斤),2015,-,-,-,-,-,24,-,-,-,-,-,-,
鶯歌桃(元/公斤),2015,-,-,-,42.67,43.67,-,-,-,-,-,-,-,
甜桃(元/公斤),2015,-,-,-,-,-,-,68.19,74.78,-,-,-,-,
水蜜桃(元/公斤),2015,-,-,-,-,-,-,-,-,28.75,26.65,30,-,
牛心柿(元/公斤),2015,-,-,-,-,-,-,-,-,-,81.74,79.03,77.50,
甜柿(元/公斤),2015,-,-,-,-,-,-,-,17.13,32.38,34.28,-,-,
紅柿(軟柿)(元/公斤),2015,-,-,30,40.46,36.17,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2015,-,-,-,15.52,-,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2015,-,-,-,-,-,-,50,42.50,22.50,-,-,-,
橫山梨(元/公斤),2015,-,-,-,-,-,-,-,46,63.33,-,-,-,
新世紀梨(元/公斤),2015,-,-,-,-,-,56.84,79.90,-,-,-,-,-,
豐水梨(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2015,-,-,-,-,-,-,39.38,41.43,48.67,-,-,-,
新興梨(元/公斤),2015,61.11,52.50,51.67,55,71.67,65.55,51.62,64.92,85.17,89.67,72.06,69.37,
巨峰葡萄(元/公斤),2015,54.73,54.74,54.85,54.69,53.67,50.50,50.88,51.70,52.50,54.70,67.88,72,
落花生(帶殼)(元/公斤),2015,64.53,60.67,-,-,-,-,-,-,-,-,-,66.25,
紅豆(中等)(元/公斤),2015,80.17,80.25,80.33,80.17,88.42,90.17,80.33,80.50,80.33,80.33,80.50,-,
綠豆(省產)(元/公斤),2015,12.46,12.09,8.74,9.34,8.30,10.41,11.20,16.85,22.05,25.42,30.09,29.42,
甘藷(元/公斤),2015,-,-,150,256.26,232.61,163.58,130.33,147,144.86,233.70,280.21,-,
烏龍茶菁(手)(元/公斤),2015,-,-,-,82.72,88.88,80.55,69.43,59.43,61.93,65.33,66.33,-,
烏龍茶菁(機)(元/公斤),2015,-,-,125.33,152.78,144.12,106.33,71.33,75,95,121.84,149.98,-,
金萱茶菁(手)(元/公斤),2015,-,-,40,54.11,47.74,42.99,42.43,42.73,44.62,46.89,56.94,-,
金萱茶菁(機)(元/公斤),2015,-,-,-,-,580,536.67,566.17,566.75,564,540,-,-,
蓮子(脫殼)(元/公斤),2015,14,13.82,11.86,12.19,10.10,10.27,10.42,10.23,11.42,12.32,11.95,11.15,
紅甘蔗(元/公斤),2015,219.71,225,220,220,209.61,210.53,210,210,210,210,210,227.02,
芝麻(黑省產)(元/公斤),2015,8.24,8.19,7.64,8,7.04,6.45,7.75,7.74,4.68,4.78,4.30,4.25,
文心蘭(元/支),2015,4.45,5.84,5.44,5.84,6.83,8,10.33,9.67,9.23,8.17,8.47,8.89,
菊花(大菊)(元/支),2015,5.46,8.78,5.42,2.90,4.94,5.29,4.59,4.14,3.50,6.18,3.64,4.77,
玫瑰(黛安娜)(元/支),2015,13.26,13.85,12.07,12.48,9.35,9.47,10.56,12.28,10.65,11.20,10.22,10.72,
火鶴(紅)(元/支),2015,3.28,3.75,2.03,2.50,2.52,4.78,3.78,5.54,6.91,5.56,3.15,3.85,
非洲菊(元/支),2015,89.83,79.05,37.38,43.57,69.87,72.02,70.45,81.90,108,135.88,95.92,61.50,
滿天星(元/ 把),2015,73.33,105,61.67,28.67,43.33,75,41.67,58,80,81.67,76.67,45,
卡斯比亞(元/把),2015,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)大輪(元/支),2015,3.58,4.50,2.76,2.79,4.11,3.67,4.33,3.42,4.58,5.42,5.28,4.12,
香石竹(康乃馨)中康(元/支),2015,12.67,13.50,6,5.67,9.33,13,7.67,9.33,8,12.33,9,11.33,
天堂鳥(元/支),2015,6,7.25,5.33,6.67,4.83,4,4.50,5.17,5.33,6,4.33,3.50,
夜來香(元/支),2015,5.14,4.93,3.73,4.21,5.64,6.34,5.48,7.04,6.92,8.20,5.97,4.02,
唐菖蒲(劍蘭)(元/支),2015,-,-,-,-,-,26.70,23.73,31.20,31.91,27.98,19,15.37,
葵百合(紅)(元/支),2015,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2015,26.32,21.12,21.72,22.19,28.67,25.21,25.19,33.44,32.13,28.11,22.42,17.69,
香水百合(白)(元/支),2015,30.47,31.95,23.87,23.57,22.33,22.17,22.83,24,23.67,24,21.67,17,
香水百合(黃)(元/支),2015,-,-,-,-,-,-,-,-,-,-,70.83,61.67,
聖誕紅(元/盆),2014,6.10,5.06,6.42,6.32,7.40,12.63,14.62,12.77,10.29,11.34,8.06,8.92,
蘿蔔(元/公斤),2014,11.53,7.51,7.41,7.32,8.92,11.05,13,12.83,13.33,12.17,11.50,10.83,
胡蘿蔔(元/公斤),2014,-,-,35.33,11.50,-,-,-,-,-,-,-,-,
牛蒡(元/公斤),2014,-,-,-,-,79.50,76.67,65.27,56.77,56.60,59.60,-,-,
生薑(嫩薑)(元/公斤),2014,36.49,39.25,41,49.64,58.45,101.67,95,106.67,116.67,143.33,160,90,
生薑(老薑粉薑)(元/公斤),2014,38.40,35.26,34.83,35.67,41.67,50,43.33,43.09,36.32,34.03,35.04,39.37,
芋頭(元/公斤),2014,-,-,-,117.72,96.78,78.86,81.41,68.77,65.03,59.72,-,-,
綠竹筍(元/公斤),2014,-,-,-,32.33,24.67,20.33,20.33,20.67,19.67,26.67,-,-,
烏殼;綠竹筍(元/公斤),2014,67.67,72.50,70,56.67,33.83,30.22,28.58,29.58,29,29.42,33.17,37.67,
麻竹筍(元/公斤),2014,-,-,-,20.39,28.10,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2014,-,-,-,-,26.17,25.50,-,-,-,-,-,-,
轎篙筍(元/公斤),2014,-,-,-,87,72.50,66,76.83,78.67,74.50,76.33,71.33,-,
白蘆筍(元/公斤),2014,213.33,123.25,96.67,87.75,80.07,86.53,102.17,110.53,125.83,127.78,143.33,186.67,
綠蘆筍(元/公斤),2014,-,85,83.33,61.67,48.33,45.67,75.67,73.33,51,55,50,-,
茭白筍(帶殼)(元/公斤),2014,7.11,7,12,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2014,18.29,17.83,17.58,18.42,16.33,17.43,17.83,17.83,17.83,18.50,20,21.17,
馬鈴薯(食用)(元/公斤),2014,27.83,25.72,20.95,22.87,24.91,27.97,29.47,43.84,56.97,62.33,52.67,42.59,
青蔥(元/公斤),2014,12.58,9.75,9.10,8.33,12.70,12.70,11.70,11.23,-,-,14.75,13,
洋蔥(內銷)(元/公斤),2014,44.69,38.76,43.49,64.94,65,-,-,-,-,-,-,66.89,
青蒜(元/公斤),2014,-,75,43.64,29.17,23.76,20.92,23.62,25.09,26.41,29.79,30.99,34.94,
蒜頭(蒜球)(元/公斤),2014,38.45,36,27.22,23.56,21.55,25.67,29.11,29,38.33,52.66,29.33,29,
韭菜(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2014,43.17,33.63,31.73,21.37,25.87,24.97,20.67,28.30,20.30,27.17,20.39,46.14,
蕹菜(空心菜)(元/公斤),2014,35.67,41.88,42.17,39.78,26.33,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2014,5.79,5.73,4.50,6.07,8.10,13.79,16.35,20.44,26.15,21.25,9.91,11.70,
甘藍(元/公斤),2014,18.76,16.90,19.66,19.08,28.54,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2014,20.05,24.92,21.94,16.72,24.67,34.67,27.39,35.95,20.78,26.33,15.44,29.78,
小白菜(元/公斤),2014,10.83,17.25,12.17,8.92,17.67,21.33,16.67,29.17,15.67,18.67,10.67,23.22,
青江白菜(元/公斤),2014,8.01,5.98,9.07,13.38,9.72,18.52,13.32,23.86,12.43,16.83,8.07,13.59,
結球白菜(元/ 公斤),2014,21.83,17.55,16.39,22.89,-,33.76,40.82,84.39,51.06,43.42,25.31,30.30,
菠菜(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
芥藍(元/公斤),2014,35,-,37,31,26,27,23.67,47.33,39.33,36,17.67,30.33,
莧菜(元/公斤),2014,19.56,16.33,16.22,15.11,21.56,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2014,12.17,12.50,9.04,10,17.67,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2014,23.06,28,29.22,16.33,-,-,-,-,-,50,30.55,32.81,
茼萵(元/公斤),2014,13.92,16.58,17.63,16.84,21.94,41.55,35.11,39,33.44,38.67,19.07,26.25,
花椰菜(白)(元/公斤),2014,18.02,19.31,22.66,22.11,19.50,-,-,-,-,-,-,-,
青花苔(元/公斤),2014,639.89,613.50,561.67,561.67,582.78,639.78,707.56,751,760.44,721.50,722.33,723.17,
金針菜  (乾)(元/公斤),2014,22.65,32.20,26.68,16.01,11.02,15.75,14.95,17.46,14.96,19.65,16.08,26.83,
胡瓜(黑刺)(元/公斤),2014,32.11,46.10,37,26.36,21.86,28.43,29.88,34.83,25.60,31.87,26.13,41.37,
花胡瓜(元/公斤),2014,9,10,19.82,20.73,9.13,-,-,-,9.27,6.95,6.95,8.67,
冬瓜(元/公斤),2014,55.98,75.15,56.42,36.27,24.76,22.99,20.26,32.19,31.77,44.38,28.17,35.79,
苦瓜(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2014,22.81,28.63,28.50,22.96,19.43,19.60,18.22,23.65,16.47,22.30,20.29,29.98,
絲瓜(元/公斤),2014,15.90,13.71,18.07,12.33,10.75,-,-,-,-,15.50,-,-,
扁蒲(元/公斤),2014,26.38,20.25,22.40,22.20,22.76,25,23.67,29.83,22.05,31.95,13.39,26.82,
茄子(元/公斤),2014,24.52,15.76,20.70,15.17,17.50,21.67,31.33,23.33,33,49.86,45.60,21.27,
番茄(黑柿)(元/公斤),2014,56.45,48.34,49.56,45.67,45.17,43.33,42,78.33,103.33,40,83.89,50.89,
小蕃茄(聖女)(元/公斤),2014,20.88,18.81,19.67,20.95,17.35,31.29,27.55,24.67,41.73,50.73,29.98,28.21,
甜椒(青椒)(元/公斤),2014,-,-,20,17.39,14.24,11.70,15.28,-,-,-,15,-,
西瓜(大粒)(元/公斤),2014,-,-,20.50,17.22,12.67,11.92,12.88,11.62,14.67,20.17,16.17,19,
西瓜(小粒)(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2014,38.67,33.25,39.39,45.71,42.38,31.20,29.42,19.83,25.67,31.67,16,36.67,
洋香瓜(元/ 公斤),2014,-,-,67.33,66.11,40.88,41.78,39.70,33.13,36.47,42.83,32.67,-,
香瓜(美濃瓜)(元/公斤),2014,55.80,86,59.22,45.08,48,65.78,89.14,80.13,60.76,85.96,71.29,60.09,
敏豆(四季豆)(元/公斤),2014,43.66,47.67,43.78,32.75,28.83,34.25,34.64,45.13,34.80,51.50,43.58,49.78,
豇豆(元/公斤),2014,74.58,46.13,58.18,45,-,-,-,-,-,-,86.33,77.15,
豌豆(元/公斤),2014,58,37.50,53.33,35,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2014,16.12,13.35,13.35,13.35,12.86,-,-,-,-,-,11.50,-,
毛豆(帶莢)(元/公斤),2014,106,83.82,82.33,60.28,33.58,28.34,27.03,29.33,54,46.17,75.33,42.67,
辣椒(元/公斤),2014,15.69,15,17.78,14.09,13.50,12.70,21.49,21.99,13.05,17.93,13.13,17.04,
甜玉米(鮮食)(元/公斤),2014,93,-,-,-,-,-,-,60.67,52.33,52.33,84,74.17,
蓮藕(元/公斤),2014,160,150,136.66,77.22,-,-,-,-,-,-,-,225.56,
草莓(元/公斤),2014,91.89,77.50,79.67,115.83,90.83,128.33,85,88.33,95,106.67,110,114.83,
洋菇(元/公斤),2014,1312.50,1325,1321.67,1404.17,1436.67,1408.33,1376.67,1380.83,1418.33,1530,1517.50,1493.33,
香菇(太空包)乾(元/公斤),2014,82.22,81,78.22,80.22,81,81.67,82.11,83.44,85.89,100.89,102.89,103.66,
香菇(太空包)鮮(元/公斤),2014,69,58.75,60,40,36,38.67,40.33,46.67,42.33,48.33,43.83,59.83,
木耳(黑色溼)(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2014,-,-,-,-,-,79.78,80.78,81.89,87,86,89.11,89.78,
杏鮑菇(元/公斤),2014,15,19.50,23.67,22.50,-,-,-,-,11.50,14.95,16.11,18.33,
葡萄柚(元/公斤),2014,-,-,83,66.42,57.17,41.20,-,-,-,-,-,-,
芒果(在來)(元/公斤),2014,-,-,-,101.13,78.17,57.08,46.42,51.52,-,-,-,-,
芒果(愛文)(元/公斤),2014,-,-,-,-,44.67,37.94,24.55,33.80,-,-,-,-,
芒果(金煌)(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2014,32.36,26.51,34.55,18.95,27.44,28.24,11.87,11.56,27.64,42.74,41.61,29.50,
番石榴(珍珠)(元/公斤),2014,69.12,60.36,64.38,52.91,51.28,63.33,-,-,-,-,87.75,69.96,
蓮霧(元/公斤),2014,-,85,155.97,155.14,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2014,-,-,-,-,50,28.62,24.34,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2014,-,-,-,-,99.65,53.96,42,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2014,-,-,-,-,-,-,47.33,29.03,25.25,-,-,-,
龍眼(大粒)(元/公斤),2014,61.98,47.24,51.04,-,-,-,-,-,-,-,-,60.10,
棗子(元/公斤),2014,63.08,64.17,65.11,-,-,-,65,52.42,57.32,64.25,61.74,61.44,
番荔枝(元/公斤),2014,33.50,30.17,33.56,36.67,-,-,-,-,28.83,35.39,41.72,34.67,
楊桃(馬來種)(元/公斤),2014,-,-,-,-,-,77.50,52.33,48.11,57.33,58.33,80,105.67,
酪梨(元/公斤),2014,5.41,5.17,5.14,5.53,6.03,6.42,7.06,7.90,8.50,8.08,7.17,6.64,
椰子(元/公斤),2014,1.06,1.66,1.73,2.18,3.06,1.85,0.94,1.08,0.94,0.70,0.50,0.70,
檳榔(元/ 粒),2014,34.35,31.55,34.71,36.34,27.71,24.52,25.21,27.43,29.56,31.19,39.50,47.97,
木瓜(元/公斤),2014,-,-,-,-,-,103.33,60.67,50.17,51,46.83,35.67,48,
百香果(元/公斤),2014,40.89,35.92,43.25,37.21,34.27,18.01,10.65,26.27,14.40,19.82,14.51,16.43,
香蕉(內銷)(元/公斤),2014,-,-,-,-,-,15.21,16.07,15.21,18.66,21.73,18.27,-,
鳳梨(開英)(元/公斤),2014,15.83,20.63,18.89,23.55,28.20,21.25,20.40,19.69,21.88,28,19,23.78,
鳳梨(17號)(元/公斤),2014,-,-,-,-,116.67,79.33,53.11,52.92,55.17,61.33,69,-,
紅龍果(元/公斤),2014,34.94,37,-,-,-,-,-,-,-,39.50,31.05,29.08,
椪柑(元/公斤),2014,49.08,35.98,39.28,55.50,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2014,-,-,-,-,-,-,-,24,29.20,22.50,-,-,
文旦(元/公斤),2014,18.19,17.26,19.54,23.29,-,-,-,-,-,19.60,19.41,19.60,
柳橙(元/公斤),2014,54.97,50.96,49.58,53.28,46.70,47.12,33.64,28.54,29.83,37.43,72.38,73.79,
檸檬(元/公斤),2014,33.42,-,-,-,-,-,-,-,-,-,-,25,
海梨柑(元/公斤),2014,48.40,51.17,62.67,79.33,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2014,46.67,59,78.53,-,-,-,-,-,-,-,58,38.33,
金柑(元/公斤),2014,-,-,-,-,20,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2014,-,-,-,-,70,43.33,-,-,-,-,-,-,
李(紅肉)(元/公斤),2014,-,-,-,-,-,28.25,-,-,-,-,-,-,
鶯歌桃(元/公斤),2014,-,-,-,55.83,50.33,-,-,-,-,-,-,-,
甜桃(元/公斤),2014,-,-,-,-,-,-,66.15,69.45,-,-,-,-,
水蜜桃(元/公斤),2014,-,-,-,-,-,-,-,-,20,25,26.17,-,
牛心柿(元/公斤),2014,-,-,-,-,-,-,-,-,109.67,82.75,86.17,81.11,
甜柿(元/公斤),2014,-,-,-,-,-,-,-,15.63,21.43,25.85,30,-,
紅柿(軟柿)(元/公斤),2014,-,-,41,37.58,29.66,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2014,-,-,-,10.43,7.75,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2014,-,-,-,-,-,-,35,35,15,-,-,-,
橫山梨(元/公斤),2014,-,-,-,-,-,-,-,40.42,60,51.67,55,-,
新世紀梨(元/公斤),2014,-,-,-,-,-,45.75,77.39,142.22,130,-,-,-,
豐水梨(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2014,-,-,-,-,-,-,35.45,40.45,45,50.67,-,-,
新興梨(元/公斤),2014,73,-,75,88.33,81.67,70,51.69,66.18,103,83.55,67.25,61.09,
巨峰葡萄(元/公斤),2014,64.84,65.63,69.21,71.67,74.13,69.51,65.05,62.73,61.99,58.04,58.74,58.71,
落花生(帶殼)(元/公斤),2014,72.23,70,70,-,-,-,-,-,-,-,-,69.59,
紅豆(中等)(元/公斤),2014,80.83,80.25,80.83,80.67,90.42,90.17,80.33,80.33,80.17,80,80.17,-,
綠豆(省產)(元/公斤),2014,18.60,19.08,19.69,22.07,24.50,27.36,24.62,27.89,24.47,22.20,16.25,13.40,
甘藷(元/公斤),2014,-,-,208.33,254.13,239.48,181.62,133,149.67,164.06,218.24,256.03,186.67,
烏龍茶菁(手)(元/公斤),2014,-,-,-,85.83,72.77,59.98,63.58,61.66,63.38,65.50,66.33,-,
烏龍茶菁(機)(元/公斤),2014,-,-,157,152.61,144.08,119.50,72,79.33,102.42,137.88,159.93,156.17,
金萱茶菁(手)(元/公斤),2014,-,-,35.43,50.18,47.07,42.99,43.54,44.10,44.70,46.78,56.83,-,
金萱茶菁(機)(元/公斤),2014,-,-,-,-,-,500,489.67,483.75,474.67,280,-,-,
蓮子(脫殼)(元/公斤),2014,10.81,10.74,9.73,9.77,7.82,7.85,9.17,11.44,10.49,11.54,11.67,11.81,
紅甘蔗(元/公斤),2014,232.12,246.67,250,250,217.20,218.40,250,250,250,250,245,222.41,
芝麻(黑省產)(元/公斤),2014,8.85,7.29,7.10,7.29,5.59,6.05,7.08,8.70,6.17,5.10,6.21,6.63,
文心蘭(元/支),2014,6.66,5.12,5.94,4.35,3.63,5.33,8.17,9.33,6.67,6.67,6.15,7.34,
菊花(大菊)(元/支),2014,9.11,12.19,9,3.55,4.69,5.84,3.97,3.57,4.72,4.70,4.14,6.07,
玫瑰(黛安娜)(元/支),2014,14.63,12.63,13.66,11.30,8.06,8.54,10.25,10.79,11.69,11.40,10.33,10.47,
火鶴(紅)(元/支),2014,6.05,2.84,2.75,2.30,2.56,4.95,5.06,3.67,5.33,6.06,4.17,4.33,
非洲菊(元/支),2014,72.57,69.25,65.50,46.60,88.72,106.55,72.85,71.57,89.22,82.08,60.52,91.05,
滿天星(元/ 把),2014,69.67,62.50,70,44,27.33,61,60,40.33,42.67,80,63.33,80,
卡斯比亞(元/把),2014,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)大輪(元/支),2014,5.78,3.42,4.05,3.11,3.37,3.17,3.33,3.83,3.83,3.86,3.17,3.22,
香石竹(康乃馨)中康(元/支),2014,14,5.50,7.67,9.67,7,11.67,9,6.67,9,13,11,12,
天堂鳥(元/支),2014,7.17,5.75,6.17,5.67,4,4.17,4.83,5.50,5.50,5.67,4.17,5.50,
夜來香(元/支),2014,7.12,3.85,4.79,4.14,4.43,4.95,5.86,6.29,5.02,6.14,4.12,5.21,
唐菖蒲(劍蘭)(元/支),2014,-,-,-,-,-,31.40,19.87,35.58,26.22,30.73,27.34,28.25,
葵百合(紅)(元/支),2014,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2014,43.24,23.27,25.37,14.31,18.33,28,29.53,34.74,31.37,39.06,38.02,41.75,
香水百合(白)(元/支),2014,32.10,21.88,24.20,19.77,23.33,23.83,24,23.83,24.50,23.67,24.17,23.33,
香水百合(黃)(元/支),2014,-,-,-,-,-,-,-,-,-,-,70,70,
聖誕紅(元/盆),2013,9.95,5.60,5.69,7.87,12.87,12.90,9.80,9.50,21.91,18.82,8.82,6.76,
蘿蔔(元/公斤),2013,15.77,10.85,8.84,10.50,13.33,13.50,16,17.50,23.67,25.50,20.58,15.07,
胡蘿蔔(元/公斤),2013,-,-,-,12.33,12.70,-,-,-,-,-,-,-,
牛蒡(元/公斤),2013,-,-,-,-,50,51,49.48,49.77,54.38,59.67,-,-,
生薑(嫩薑)(元/公斤),2013,21.28,31.53,36.50,44,51.11,55,50,63.33,81.67,86.67,96.67,78.33,
生薑(老薑粉薑)(元/公斤),2013,51.45,54.58,43.33,35,34.33,30,28.33,33.45,34.75,40.37,42.76,40.09,
芋頭(元/公斤),2013,-,-,-,76.67,64.01,79.65,66.31,61.53,61.92,64.61,31.67,-,
綠竹筍(元/公斤),2013,-,-,-,27,23,27.67,20.67,24,29.33,23.33,-,-,
烏殼;綠竹筍(元/公斤),2013,76.67,75,61.67,51.67,37.33,34.44,26.25,28.03,37.77,32.22,45.33,55,
麻竹筍(元/公斤),2013,-,-,-,34.33,34.94,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2013,-,-,-,-,27.17,31.83,-,-,-,-,-,-,
轎篙筍(元/公斤),2013,-,-,-,100,80,71.67,67.33,69.67,70,71.67,83,-,
白蘆筍(元/公斤),2013,-,110,93.89,94,92,88.89,94.89,100.27,99.87,109.83,112.22,166.67,
綠蘆筍(元/公斤),2013,-,67.50,46.67,45,50.33,69.33,73.33,40,51,56.67,49,-,
茭白筍(帶殼)(元/公斤),2013,14.89,9,6.17,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2013,24.35,21.88,19.33,19,18.33,18.17,18,19.50,22.83,24.17,23.17,21.90,
馬鈴薯(食用)(元/公斤),2013,27.42,22.46,19.45,19.76,19.76,36.98,68.49,52.34,85.65,72.78,49.05,36.60,
青蔥(元/公斤),2013,13.96,12.75,11.17,11.02,16.80,18.67,17.43,-,-,-,30,21.33,
洋蔥(內銷)(元/公斤),2013,47.19,38,31.71,37.91,32.46,-,-,-,-,-,-,61.17,
青蒜(元/公斤),2013,-,67,59.25,62.07,59.73,55.24,54.70,54.88,54.66,57.13,57.11,59.75,
蒜頭(蒜球)(元/公斤),2013,35,34.50,25.44,23.56,20.22,30.78,29.03,28.34,52.33,46,35.22,34.55,
韭菜(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2013,53.39,20.79,20.57,33.03,26.87,19.70,21.30,23.23,46.70,29.50,24.33,36.22,
蕹菜(空心菜)(元/公斤),2013,48.33,42.50,35.83,46.67,-,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2013,19.42,9.94,4.23,5.42,14.79,18.84,16.66,14.13,25.83,27.06,13.58,8.90,
